title,description,url,prep_time,cook_time,total_time,servings,ingredients,instructions,image_url,recipe_category,recipe_cuisine,keywords,calories,rating_value,rating_count,review_count
Tteok Sanjeok (Skewered Rice Cake and Vegetables),A traditional holiday dish - skewered rice cake with beef and vegetables,https://www.koreanbapsang.com/tteok-sanjeok-skewered-rice-cake-beef-vegetables/,,,,4 servings,"[For the rice cake] 2 pieces garaetteok sufficient for 4 7-centimeter long pieces ,1 tablespoon soy sauce ,2 teaspoons sugar ,1 teaspoon sesame oil | [For the beef] 4 ounces lean beef tenderloin, sirloin, eye round ,1 tablespoon soy sauce ,2 teaspoons sugar ,1 teaspoon sesame oil ,1 teaspoon rice wine ,1 teaspoon minced garlic ,pinch pepper | [For the vegetables] 4 king trumpet mushrooms saesongi beoseot ,2 small carrots ,4 scallions ,salt and pepper ,oil for pan frying ,sesame seeds or chopped pine nuts for garnish - optional ,8 skewers about 4-inch long","[Instructions] 1) Cut each rice cake crosswise into about 3-inch long pieces. Then cut each piece into quarters. (Day old rice cake is best for cutting.) Boil the rice cake in a small pot of boiling water until softened. Drain, and mix with the soy sauce, sugar and sesame oil, and let sit for about 30 minutes. | 2) Cut the beef into about 3.5-inch long strips to create 8 pieces. (Cut the beef longer than the rice cake because the beef will shrink more.) Combine with the soy sauce, sugar, sesame oil, rice wine, minced garlic, and pepper. Marinate for about 30 minutes. | 3) Cut the mushrooms lengthwise into about 8-centimeter long strips. Blanch them in salted boiling water just to soften, about a minute. Drain. | 4) Cut the green parts of scallions into 8 3-inch long pieces. Cut the carrots into 2 3-inch long pieces. Then cut each one into quarters. | 5) Thread the rice cake, meat and vegetables onto the skewers. | 6) Heat a large pan with a little bit of oil over medium low heat. Place the skewers in the pan. Cook each side until the meat and vegetables are cooked through and slightly caramelized, 1 – 2 minutes each side. Garnish with the optional sesame seeds or pine nuts.",https://www.koreanbapsang.com/wp-content/uploads/2016/02/DSC_0981-150x150-1.jpg,"Appetizer, Snack",Korean,,,5.0,4.0,4
Tteokbokki - Spicy stir-fried rice cakes,"Tteokbokki, a spicy stir-fried rice cake dish, is a highly popular Korean street food and a delicious comfort food you can easily make at home. The spicy, slightly sweet, and chewy rice cakes are simply addictive!",https://www.koreanbapsang.com/tteokbokki-spicy-stir-fried-rice-cakes/,20m,20m,30m,3 servings,"[Ingredients] 1 pound tteokbokki tteok 떡볶이 떡 (about 24 3-inch long rice cake pieces) See Note 1 ,1-2 eomuk 어묵 (fish cake) sheets ,4 ounces green cabbage (yangbaechu, 양배추) ,1-2 or scallions ,1 tablespoon minced garlic | [Anchovy broth if using] 8-10 medium to large dried anchovies (마른멸치), about 0.5 ounces (15 grams) Or simply use a broth packet . ,1 piece dasima (dried kelp), about 3-inch square ,1/4 medium onion, roughly sliced | [Tteokbokki Sauce] 3 cups anchovy broth or water (use 4 cups for more sauce) ,3 tablespoons gochujang, 고추장 See Note 2 ,1-3 teaspoons gochugaru, 고추가루 See Note 3 ,1 tablespoon soy sauce ,2 tablespoons sugar (use 1 tablespoon for less sweet tteokbokki) ,1 tablespoon corn syrup (or oligo syrup) - use more sugar if not using | [Optional] 2 boiled eggs","[Instructions] 1) Soak the rice cakes for about 20 minutes (can be longer for refrigerated rice cakes). | 2) Cut the fish cake, cabbage, and scallions into about 2-inch long pieces. | 3) To a large pan, add the dried anchovies, dried kelp, and onion along with 5 cups of water. Bring it to a boil over medium high heat, and continue to boil for 10 minutes. Reduce it close to medium if your heat is very high. Remove the anchovies, dasima and onion from the broth. | 4) Add the sauce ingredients to the pan, stirring to dissolve the red chili pepper paste (gochujang). | 5) Add the rice cakes. Boil until the rice cakes become very soft and the sauce is thickened, about 8 - 10 minutes. This can take longer, depending on your rice cakes. Stir frequently so the rice cakes don't stick to the bottom of the pan. | 6) Drop the vegetables, garlic, and fish cakes in. Continue to boil, stirring occasionally, for an additional 4 - 6 minutes. Depending on rice cakes, you may need more time to reach a desired level of softness. Add more broth or water as necessary. Drop in the scallions and boiled eggs with 2 to 3 minutes remaining. Taste the sauce, and adjust the seasoning if needed. Serve hot.",https://www.koreanbapsang.com/wp-content/uploads/2018/09/DSC4637-4.jpg,"Appetizer, Snack","Asian, Korean","ddukbokki, Korean rice cake, rice cake, rice cake sauce, topokki, tteokbokki ingredients, tteokbokki sauce",,4.65,370.0,370
Tuna Gimbap,Gimbap (Korean seaweed rice rolls) made with canned tuna,https://www.koreanbapsang.com/tuna-gimbap/,,,,5 servings,"[For the rice] 2 cups standard measuring cup not the cup that comes with a rice cooker uncooked short grain rice ,1-1/2 tablespoons sesame oil ,salt to taste about 1/2 teaspoon | [For the tuna] 2 cans 5 to 6 ounces tuna, drained well ,2 tablespoons finely diced celery ,2 tablespoons mayonnaise ,1 teaspoon dijon mustard ,2 teaspoons lemon juice ,salt start with ¼ teaspoon and pepper to taste | [For the other ingredients] 10 romaine lettuce leaves only use green leafy part ,10 perilla leaves ,3 kirby cucumbers cut into thick sticks or julienned (do not used seedy part) ,5 strips pre-cut pickled radish 단무지 ,10 3- inch pieces imitation crab meat crab sticks ,5 sheets gim","[Instructions] 1) Cook the rice using a little less water than usual. (Fresh cooked rice is best for gimbap.) | 2) Drain the tuna well in a strainer. Press with a spoon to force more liquid to drain. | 3) Mix well with the celery, mayonnaise, dijon mustard, and lemon juice. Season with salt and pepper to taste. | 4) Prepare the other ingredients. Make sure the vegetables are dry. Pat the crab sticks and pickled radish with a paper towel to remove excess water. | 5) When all the other ingredients are ready, remove the rice from the rice cooker. While the rice is still hot, add the sesame oil and salt. Mix well by lightly folding with a rice paddle or large spoon until evenly seasoned. The rice will cool down during this process and be ready to be used. | 6) Put a sheet of gim, shiny side down with the longer side toward you, on a cutting board or a bamboo mat if available. Spread about 3/4 of rice evenly over the gim using a rice paddle or preferably your fingers. | 7) Lay two lettuce leaves and two perilla leaves on top of the rice, close to you, and then the tuna and other prepared ingredients. | 8) Lift the entire bottom edge with both hands, and roll over the filling away from you, bringing it to the other end of rice and tucking in the filling with your fingers. Put firm pressure over the roll with the help of the bamboo mat, if using, to close everything in tightly. Then, continue to roll again, putting pressure evenly over the roll using both hands. | 9) Rub or brush the roll with a little bit of sesame oil for extra flavor and a shiny look. Apply a little bit of sesame oil to a sharp knife. This will keep rice from sticking to the knife. Repeat as necessary after each cut. Wipe the knife with a damp towel if the rice still sticks. Cut the roll into 1/2-inch bite sizes.",https://www.koreanbapsang.com/wp-content/uploads/2015/05/DSC_0852-150x150-1.jpg,"Appetizer, Snack",Korean,,,5.0,10.0,10
Yukjeon (Pan-fried battered beef),,https://www.koreanbapsang.com/yukjeon-pan-fried-battered-beef/,,,,4 servings,"[Ingredients] 1 pound thinly sliced beef any tender cut such as loin and rib eye ,1/2 cup sweet rice flour chapssal garu, 찹쌀가루 ,oil for pan-frying ,2 scallions thinly sliced | [Beef marinade] 1 tablespoon soy sauce ,1 teaspoon rice wine ,2 teaspoons water ,1 teaspoon sesame oil ,1 teaspoon sugar ,pinch pepper ,1/2 teaspoon minced garlic | [Hot mustard sauce (겨자장)] 1 teaspoon hot mustard gyeoja, 겨자 ,1 teaspoon hot water ,1 teaspoon soy sauce ,1 teaspoon vinegar ,1 teaspoon sugar ,pinch salt","[Instructions] 1) Thinly slice the beef if it’s not pre-cut. Partially freeze the meat for about an hour to firm it up for easier slicing. | 2) Lightly season both sides with the marinade, and let it stand for 20 minutes. | 3) Dredge both sides of the beef slice in sweet rice flour, one piece at a time. Let it stand for a few minutes until the flour absorbs the marinade. Then, dredge again in the sweet rice flour to create a nice coating. | 4) Heat a large non-stick skillet over medium low heat. Add a tablespoon of oil. Place in the skillet. Cook for 1 to 2 minutes on each side, adding more oil if needed, until lightly golden. | 5) Repeat until all the beef slices are pan fried. Serve warm with a dipping sauce. | [For the hot mustard sauce] 1) Mix the hot mustard in hot water. Let it stand for a few minutes for the flavor to develop. This step is very important, or the mustard sauce will taste bitter. | 2) Mix int the other ingredients, and serve as a dipping sauce.",https://www.koreanbapsang.com/wp-content/uploads/2015/02/DSC_07791-150x150-1.jpg,"Appetizer, Snack",Korean,,,4.84,6.0,6
Dalgona Coffee,Dalgona coffee is whipped coffee made by whipping instant coffee with sugar and hot water and served over cold milk. It's named after a nostalgic Korean candy.,https://www.koreanbapsang.com/dalgona-coffee-whipped-coffee/,10m,10m,20m,1 servings,"[Ingredients] 2 tablespoons instant coffee ,2 tablespoons sugar ,2 tablespoons hot water ,1 cup milk","[Instructions] 1) Add the coffee, sugar and hot water to a large bowl. | 2) Whip it with a hand mixer until the mix turns to light caramel color and frothy, about 3 to 4 minutes. Start at a low speed and increase to a higher speed after the coffee and sugar are dissolved. Scrape down the sides with a rubber spatula once or twice during whipping. Or, whisk it vigorously by hand with a whisk (or spoon). This will take much longer, depending on how thick you want your whipped coffee to be. | 3) Fill up a cup with about a ⅔ to ¾ way up with milk along with some ice cubes, if desired, and top it with the whipped coffee. A rubber spatula works great to scrape it off from the bowl. You can use warm milk if you want.",https://www.koreanbapsang.com/wp-content/uploads/2020/05/DSC0870-2.jpg,"Drinks, Dessert, Sweets","Asian, Korean",,,4.86,21.0,21
Dalgona (Sugar Candy),A nostalgic Korean spongy sugar candy which is simply made with sugar and baking soda!,https://www.koreanbapsang.com/dalgona-spongy-candy/,2m,5m,7m,1 servings,"[For each candy] 1.5 tablespoons sugar (white or brown) ,1/16 teaspoon baking soda (about 2 to 3 small pinches)","[Instructions] 1) Gather all the ingredients and tools before starting. | 2) Add 1.5 tablespoons of sugar to the ladle. Hold the ladle over low to medium low heat. When the sugar starts to melt around the edges, stir with a chopstick. | 3) Continue to stir constantly, controlling the heat. If it starts to smoke, raise the ladle a few inches above the heat, and lower it closer once it cools off a little. Repeat as necessary until the sugar completely melts without any lumps, but let it cool off a little before adding the baking soda. | 4) Holding the ladle away from the heat, stir in the baking soda. | 5) Stir quickly and vigorously (20 to 25 times) until the baking soda is completely dissolved and the frothy mixture turns light caramel-color. While stirring, you can bring the ladle closer to the heat for a short second or two to keep it warm, but don’t let it puff up too long. It will burn at the bottom | 6) Pour the mixture onto a non-stick baking sheet, skillet, or parchment paper, scraping with a rubber spatula. Place the tip of the optional lollipop stick into the mixture. | 7) Let it cool for 15 to 20 seconds. Then, lightly tap it to see if it doesn't stick, and then press it all the way (for 4 to 5 seconds) to the desired thickness. This helps prevent the dalgona from sticking to the press. | 8) Immediately, stamp it with a cookie cutter, firmly but not all the way through. Promptly remove the cutter.",https://www.koreanbapsang.com/wp-content/uploads/2020/04/DSC2044-5-1.jpg,"Dessert, Snack, Sweets","Asian, Korean","candy, honeycomb candy, spongy candy, Sugar",,4.75,108.0,108
Hobak hotteok (Pumpkin stuffed Korean pancake),"Chewy, gooey and nutty hotteok, Korean sweet stuffed pancakes!",https://www.koreanbapsang.com/hobak-hotteok-sweet-stuffed-pumpkin/,10m,20m,30m,8 servings,"[Ingredients] 1 package Active Dry yeast 2-1/4 teaspoons ,⅓ cup warm water ,2 tablespoons sugar ,1 tablespoon canola or corn oil ,1/2 cup warm milk ,1/2 cup warm kabocha or pumpkin puree either fresh* or canned ,1-3/4 cups all purpose flour ,3/4 cup glutinous rice powder aka sweet rice ,1 teaspoon salt ,canola or corn oil for pan frying | [Filling] 1/4 cup sugar ,1/4 cup brown sugar ,1 teaspoon cinnamon powder ,3 tablespoons of assorted nuts peanuts, walnuts, almonds, pine nuts, etc., finely chopped ,1/2 teaspoon vanilla extract","[Instructions] 1) Warm a large bowl by rinsing it with warm water. Add ⅓ cup of warm water to the bowl. Stir in the sugar, oil and yeast. Let it sit for about 10 minutes until the yeast has bubbled up. | 2) Sift the flour, glutinous rice powder, and salt together. Add the milk, pumpkin and flour mix to the yeast water. Knead until everything is well incorporated. The dough will be a little sticky. | 3) Cover with plastic wrap. Place it in a warm place and let it rise until doubled, about an hour. | 4) Prepare the filling by chopping the nuts and mixing all the filling ingredients well. | 5) Bring the dough down by reshaping into a round. Let it sit for another 20 - 30 minutes until doubled again. | 6) Start heating a pan with a couple of tablespoons of oil over medium heat. Lightly oil your hands. Tear a big enough piece to make an about 2 to 2-1/2-inch ball. Flatten into a thick disk, creating a shallow well in the middle. Add a tablespoon of the filling and lightly press it down with the spoon. | 7) Carefully gather the edges together, pinching to seal. (This might take some practice.) | 8) Put the sealed side down on the pan, flattening a little by pressing it down with an oiled hand or spatula. Cook for a minute, and then flip over. Press down for a few seconds to flatten. Cook until both sides are golden brown. Repeat the process with the remaining dough.",https://www.koreanbapsang.com/wp-content/uploads/2011/11/DSC_1509-e1528637547297.jpg,"Dessert, Snack, Sweets",Korean,,,5.0,4.0,4
Hotteok (Korean Sweet Pancakes),Hotteok is a popular Korean street snack! You can make hotteok at home with a few basic ingredients! It’s delicious with lots of healthy seeds and nuts!,https://www.koreanbapsang.com/hotteok-sweet-korean-pancakes/,60m,20m,80m,8 servings,"[Yeast for the dough] 1 package active dry yeast (2-1/4 teaspoons) or instant yeast ,1/4 cup warm water (no need for water if using instant yeast) ,1 teaspoon sugar (no need for sugar if using instant yeast) | [Dry Ingredients] 2 cups all-purpose flour (or bread flour) ,1/2 cup sweet rice flour (glutinous rice flour/powder), chapssal garu (찹쌀가루) ,1 teaspoon salt ,1 tablespoon sugar | [Wet Ingredients] 1 tablespoon cooking oil ,1-1/4 cups milk (or almond milk) or water Start with 1 cup and gradually add more) - See note | [Filling] 1/2 cup light brown sugar (or a combination of regular sugar and dark brown sugar, 1/4 cup each) ,1 teaspoon cinnamon powder ,5 tablespoons assorted roasted seeds and nuts (use more or less to taste) (sunflower seeds, pumpkin seeds, sesame seeds, peanuts, walnuts, almonds, pine nuts, etc.) ,cooking oil for pan-frying","[Instructions] 1) Skip this step if using instant yeast. Warm a bowl or cup by rinsing it with warm water. Add 1/4 cup of warm water to the bowl (100 to 110°F ). Stir in the sugar and yeast. Let the mixture sit for about 10 minutes until the yeast has foamed and grown. | 2) Sift the flour, sweet rice powder, sugar and salt together. Add the yeast water (or instant yeast), oil, and warm milk (or water) to the flour mix. | 3) Knead until everything is well incorporated and a smooth dough is formed. The dough should be sticky and stretchy when pulled. Kneading it longer makes hotteok chewier. Using your hand or the stand mix dough hook is much easier for this step. | 4) Cover the dough with plastic wrap. Place it in a warm place and let it rise until it doubles in size, about an hour or longer. | 5) Prepare the filling by chopping the nuts and mixing all the filling ingredients well. | 6) Bring the dough down by reshaping it into a round. Let it sit for another 20 to 30 minutes until it doubles in size again or longer. You can let the dough sit for hours at this point until ready to use. | 7) Heat a pan with a couple of tablespoons of oil over medium heat. Lightly oil your hands. Tear a big enough piece of the dough to make an about 2.5-inch ball. Flatten the ball into a thick disk, creating a shallow well in the middle. Add about 1.5 tablespoons of the filling and lightly press it down with the spoon. | 8) Carefully gather the edges together, pinching to seal. | 9) Put the sealed side down on the pan, flattening a little by pressing it down with your oiled hand or spatula. Cook for a minute, and then flip over. Press down for a few seconds to flatten. Cook until both sides are golden brown. Repeat the process with the remaining dough. | 10) Hotteok freezes well. You can reheat it in a toaster or air fryer and enjoy delicious hotteok any time.",https://www.koreanbapsang.com/wp-content/uploads/2019/02/DSC_2737-1.jpg,"Dessert, Snack, Sweets","Asian, Korean","flour, hotteok, nuts, seeds, streetfood, sweet rice powder",,4.64,75.0,75
Kkagangjeong (Sesame crunch),"This nutty, crunchy and healthy sesame crunch is so easy to make with sesame seeds, honey, and sugar! You can also add your favorite nuts and/or seeds.",https://www.koreanbapsang.com/kkae-gangjeong-sesame-crunch/,6m,6m,12m,4 servings,"[Ingredients] 3 tablespoons honey or corn syrup, oligo syrup, rice syrup, etc. ,3 tablespoons sugar ,pinch salt ,1 tablespoon water ,1 cup roasted sesame seeds ,1/4 cup any roasted nuts and seeds (pine nuts, almonds, peanuts, pumpkin seeds, sunflower seeds, etc.) ,Parchment paper","[Instructions] 1) Toast sesame seeds in a dry pan over medium low heat for 5 to 6 minutes. Keep your eye on it not to burn them. | 2) Add the honey, sugar, salt and water to a pan. Stir to mix over medium low heat. Let it bubble up. Continue to cook, without stirring, until it turns light golden brown, about 3 minutes or a little longer depending on your heat. | 3) Turn the heat off. Stir in the sesame seeds and nuts. Stir well until everything is well coated with the syrup. | 4) Place the mixture between two pieces of parchment paper. Let cool for a minute, or the mixture can stick to the paper. Press it down to flatten it, and roll it out with a rolling pin to a 1/4 to 1/2-thick rectangle. Using a side of a knife, push in the rough sides to straighten up a bit. Roll it again to an even thickness, as necessary. | 5) When the crunch is hardened but still slightly warm, cut with a sharp knife into desired sizes.",https://www.koreanbapsang.com/wp-content/uploads/2012/12/DSC5776-e1735409144687.jpg,"Dessert, Sweets",Korean,,,4.54,28.0,28
Maejakgwa (ginger cookies),Maejakgwa is a crunchy cookie made with ginger-flavored dough in a ribbon shape. It's deep-fried and coated with simple syrup.,https://www.koreanbapsang.com/maejakgwa-ginger-cookies/,20m,10m,30m,4 servings,"[For the ginger water for the dough] 1 teaspoon grated ginger ,4 tablespoons water | [For the white dough (24 cookies)] 1 cup flour (about 5 ounces/140 grams) ,1/4 salt ,4 tablespoons ginger water | [For the syrup (for 24 cookies)] 1/4 cup sugar ,1/4 cup water see the note ,1 tablespoon corn syrup (or maple syrup, honey, oligo syrup, or rice syrup) | [Other ingredients] Oil for frying (about 1 cup using a small skillet) ,1 teaspoon pine nuts, finely chopped - optional | [For the green dough (12 cookies) - optional] 1/2 cup flour (about 2.5 ounces/70 grams) ,⅛ teaspoon salt ,1 teaspoon green tea powder ,2 tablespoons ginger water | [For the red dough (12 cookies) - optional] 1/2 cup flour (about 2.5 ounces/70 grams) ,⅛ teaspoon salt ,2 tablespoons beet water flavored with ginger","[Instructions] 1) Make ginger water by adding the grated ginger to 4 tablespoons of water. Run it through a sieve to remove the fibrous part. | 2) Sift the flour and salt together. Add 4 tablespoons of ginger water, and mix it well. Knead with the heel of your hand until the dough comes together without visible flour in the dough and the bowl. Add a little more water if necessary, a teaspoon at a time. It should feel dry and stiff for easy shaping of cookies. Cover with a plastic wrap, and let it rest for 30 minutes. After resting, the dough will feel slightly softer. | 3) Over medium low heat in a small saucepan, bring the sugar, syrup and water to a boil over medium low heat. Continue to simmer until the syrup is reduced to half, about 4 to 5 minutes. Remove from the heat. See the note. | 4) Flour a cutting board. Cut the dough (if used 1 cup of flour) into two pieces for easier handling. Flatten one piece to a small rectangle. Wrap the other one until ready to use. Roll the flattened one with a rolling pin to make a thin rectangle, about 5 x 8-inch. | 5) Cut the rectangle in half lengthwise, and then cut each half into about 6 1-inch small rectangles. | 6) Fold a piece in the middle. From the folded side, make a slit in the middle, and then a shorter slit on each side of the middle slit. | 7) Unfold it, and push one end through the middle slit, wiggling it gently to shape it. Repeat with all pieces. Repeat steps 4, 5, 6 and 7 with the other half of the dough from step 4. | 8) Pour about 1 inch of oil into a heavy bottom pan. When the oil is hot (275°F/135°C), drop the pieces in one at a time. Cook for about 3 minutes. Remove and briefly set them on a wire rack or in a strainer. | 9) Coat with the syrup while still warm. Sprinkle with the optional pine nuts on top. | [For the bi-color dough - optional] 1) For the white/green dough (1 batch): Make ginger water using step 1. Make 1/2 batch of white dough using step 2. Do the same thing for the green dough with an addition of green tea powder. | 2) For the white/red dough (1 batch): Make ginger water using step 1. Make 1/2 batch of white dough using step 2. Boil a slice of beet in 1/4 cup of water until the liquid is reduced to a half. Add the remaining 2 tablespoons of ginger water from step 1 and simmer for a minute. Make the red dough using step 2 but with beet water. | 3) Put the same amounts of two different color doughs together and roll it out, cut, and shape, following steps 4 to 7.",https://www.koreanbapsang.com/wp-content/uploads/2020/12/DSC6356-2.jpg,"Dessert, Sweets",Korean,"cookie, ginger, Korean sweets",,4.63,8.0,8
Sikhye (Rice Punch),Sikhye is a Korean traditional non-alcholic drink that's made with barley malt and cooked rice. It's refreshingly sweet and malty!,https://www.koreanbapsang.com/sikhye-rice-punch/,10m,270m,280m,20 servings,"[Yields about 20 cups] 8 ounces barley malt (yeotgireum, 엿기름) 200 - 250 grams ,1 cup short grain rice or sweet rice (glutinous rice) 2 cups cooked ,24 cups water can be more or less depending on how much you want to make ,1 thumb size ginger, roughly sliced - optional roughly sliced - optional ,3/4 cup sugar adjust to taste ,1/2 teaspoon salt brings out sweetness | [Optional garnishes] 5 or 7 pine nuts per serving ,1 jujube, seeded, rolled and sliced per serving | [Variations (for 20 cups sikhye)] 1 small kabocha (about 2 pounds) or 3 tablespoons purple sweet potato powder","[Making malt water (Choose one of the two methods below)] 1) Simply put the malt barley in a cheesecloth bag (or nut milk bag), and place the bag in 12 cups (can be more if your bowl is large enough) of warm water in a large bowl for 20 to 30 minutes. Then, massage and squeeze the bag to extract milky grain contents until the liquid is milk color. | 2) Alternatively, use a fine sieve. Place the malt barley in a large bowl, and stir in 12 cups (or more) of warm water, and let it sit for 20 to 30 minutes. Rub the malt between your palms and squeeze out milky liquid. Filter the liquid through a fine sieve (or lined with a cheesecloth). Then, squeeze the strained malt husks in the sieve with your hands to drain out the remaining liquid. | 3) Let the malt water sit for 15 to 20 minutes for some sediments to settle at the bottom, longer if you want very clear liquid. | 4) Place the bag (or the residual malt husks if you used a strainer) in another 12 cups of warm water in another bowl and repeat the process to make more malt water. | [Cooking rice] 1) Cook 1 cup of rice with a little less (about 10% less by volume) water than your normal amount. The cooked rice should be a bit drier than your normal cooked rice. You don't need to pre-soak the rice for this recipe. Fluff it up when cooked. | [Steeping] 1) Carefully pour the malt water into the rice cooker, leaving the sediments at the bottom. Stir to combine the malt water, breaking up the rice clumps. My rice cooker can easily hold 18 cups of water. Close the lid and press the “keep warm” setting. | 2) After about 4 hours, open the lid and check to see if about 10 rice grains float at the top. It can be many more. If not, close it and leave it for another 30 min to 1 hour (or longer) as necessary. A grain of rice between your thumb and index finger, the grain should roll like a piece of yarn, not slippery starchy grain, when ready. | [Boiling] 1) Carefully transfer to a stockpot. You can run it through a strainer if you want to keep some rice separately for the optional step below. | 2) Optional step if you want to have some floating rice grains when serving: Strain out some rice from the sikhye. Rinse the rice grains in cold water, changing the water a couple of times. This removes malt contents the grains picked up while being steeped and makes them lighter. Keep them in a container with enough fresh water to cover. Store in the fridge. | 3) Bring the sikhye to a boil, removing the foam. Add the sugar and optional ginger slices to taste. For about 20 cups of sikhye, I use 3/4 cup, but this is much less than the amount that’s usually used for sikhye. Adjust to taste. Continue to boil for about 5 to 6 minutes. | [Instant Pot Option] 1) You basically do the same steps as noted above for the rice cooker. Start with cooking the rice in the Instant Pot using the ""rice"" function. Fluff it up, and gently add the malt water, leaving the sediments at the bottom. My 6 quart Instant Post can hold 18 cups of water. Stir well to break up the rice clumps. Close the lid, and press the ""keep warm"" button. Open and check in 4 hours. If there are about 10 rice grains floating, it's ready to be boiled. This is the minimum point, and it can be many more grains floating and more hours. You can simply boil it in the Instant Pot using the sauté function if that's all the sikhye you want to make. | [Variations] 1) Danhobak sikhye: Simply cook the whole kabocha in the microwave (about 10 minutes) until tender to touch, remove the skin, and puree the flesh in a blender or with an immersion blender with 2 cups of the malt water or sikhye. | 2) Purple sweet potato sikhye: Simply add 3 tablespoons of the purple sweet potato powder (or to taste) while boiling the sikhye. | [Storing] 1) Sikhye keeps well in the fridge for 5 to 6 days or longer, depending on your fridge. To be safe, you can boil it again for a few minutes after 5 or 6 days or freeze it in freezer bags for longer storage.",https://www.koreanbapsang.com/wp-content/uploads/2022/01/DSC3071-5.jpg,"Dessert, Drinks, Sweets",Korean,"barley malt, rice, rice drink, rice punch, sikhye",,5.0,2.0,2
Songpyeon (half-moon shaped rice cakes),Songpyeon is a must-have Chuseok delicacy. These little rice cakes are stuffed with sweet fillings. Learn how to make songpyeon with natural food coloring options!,https://www.koreanbapsang.com/songpyeon-half-moon-shaped-rice-cake/,30m,30m,60m,4 per batch,"[Rice Powder (ssalgaru)] 2 cups wet rice powder per batch (about 16 songpyeon) 쌀가루 or 쌀떡가루 - a 2 pound-bag yields a little more than 6 cups (3 batches) - see note ,4 to 5 ounces pine needles rinsed 2 – 3 times and air or pat dry (optional) ,1 teaspoon sesame oil | [Basic (white dough)] 2 cups wet rice powder thawed to room temperature if frozen ,4 tablespoons boiling hot water more as needed, in 1 teaspoon increments | [Green dough] 2 cups frozen rice powder thawed to room temperature if frozen ,1.5 to 2 tablespoons mugwort (ssuk garu, 쑥가루) or matcha/green tea powder ,5 to 6 tablespoons boiling hot water more as needed, in teaspoon increments | [Yellow dough] 2 cups frozen rice powder thawed to room temperature if frozen ,⅓ cup cooked steaming hot kabocha, (danhobak, 단호박) 1/4 small kabocha steamed in microwave for about 5 minutes ,1 tablespoon plus 1 or 2 teaspoons boiling hot water | [Purple dough] 2 cups frozen rice powder thawed to room temperature if frozen ,4 tablespoons plus 1 or 2 teaspoons boiling hot blueberry juice 1/2 cup fresh or frozen blueberries finely pureed with 1/2 cup water, strained and boiled | [Pink dough] 2 cups frozen rice powder thawed to room temperature if frozen ,4 tablespoons raspberry juice 1/2 cup fresh or frozen raspberries finely pureed with 1/2 cup water, strained, and boiled | [Filling: fills about 16 (one batch)] ⅓ cup roasted sesame seeds ,1.5 tablespoons sugar ,1 tablespoon honey ,pinch salt","[Dough] 1) For each type of dough, sift the rice powder into a bowl. Prepare the flavoring and liquid ingredients (water/juice/mugwort powder/kabocha) for each selected color of dough. Add the specified amount of the solid and/or liquid (making sure it’s boiling hot) to the rice powder, quickly stirring them in with a spoon. (Tip: Hold a teaspoon or two of the liquid and make sure more liquid is needed before adding it.) | 2) Knead, pressing and stretching with the heel of the hand. Fold and rotate the dough. Repeat the kneading process for 4 to 5 minutes. (If the dough sticks to your hands or the bowl after some kneading, it’s too wet. Add more rice powder in 1 tablespoon increments. If the dough breaks easily or is too stiff, it’s too dry. Add more boiling hot water in 1 teaspoon increments.) | 3) Cover the dough with plastic wrap or a damp towel. Let it rest for 20 to 30 minutes. | [Filling] 1) Roughly grind the sesame seeds in a grinder or blender. Add the sugar, honey and pinch of salt. Mix everything well together until the sugar and honey are evenly distributed. | [Assemble] 1) To assemble, tear off a small piece of the dough enough to make roughly 1-inch ball. Roll tightly between your palms to shape a ball. | 2) Make a well in the ball by pressing into it with your thumb, and press outwards, with both of your thumbs, on the inside walls of the well to slightly expand the opening. | 3) Place 1/2 teaspoon of the filling in the well. Seal tightly by squeezing the edges together. Squeeze the whole rice cake lightly in your palm to firm it up, and then gently roll between your palms to smooth out the surface. Shape it into a nice crescent shape. Pinch along to create a wing. Repeat until all the dough/filling is used. | [Steam and finish] 1) Boil water in a steamer. Place a thin layer of pine needles or a silicon liner or damp kitchen cloth in the steamer insert. Boil the water over high heat. When it starts to steam, place the rice cakes in the steamer insert without the pieces touching one another. Cover with a thin layer of pine needles, if available. Cover and steam for about 20 minutes. | 2) Prepare a big bowl of cold water. Using a long-handed spoon or tong, remove the rice cakes from the steamer. Drop them in the cold water for a quick rinse, removing all the pine needles if used. Transfer the rice cakes to a colander to drain. Lightly coat your hands with the sesame oil and rub the oil on the rice cakes in batches. Serve warm or at room temperature",https://www.koreanbapsang.com/wp-content/uploads/2012/09/DSC5740-2-e1568084980330.jpg,"Dessert, Snack, Sweets","Asian, Korean","chuseok, Korean rice cake, sesame seeds, songpyeon",,4.89,26.0,26
