title,description,url,prep_time,cook_time,total_time,servings,ingredients,instructions,image_url,recipe_category,recipe_cuisine,keywords,calories,rating_value,rating_count,comment_count,review_count
Annatto Oil (Dau Hat Dieu),"Annatto oil, also known as Achiote Oil and Atsuete Oil, is a natural orange-red food dye used in many Asian and Latin cuisines.",https://vickypham.com/blog/annatto-seed-oil-dau-hat-dieu/,0m,5m,5m,1 cup,"[Ingredients] 1 cup vegetable oil, 1/2 cup dried whole annatto seeds",[Instructions] 1) [Add annatto seeds to room temperature oil] in a small pan. Heat on medium high for 3-5 minutes. | 2) [Swirl pan] to help annatto seeds release more color. | 3) [Remove the seeds] once they turn a deep red/brown using a slotted spoon or pour directly through a sieve. Discard the seeds. | 4) [Store] annatto seeds in a air-tight container. Annatto oil will keep for up to 3 months at room temperature.,https://i0.wp.com/vickypham.com/wp-content/uploads/2024/08/740b0-annato-seed-oil-dau-hat-dieu.jpg?fit=2500%2C3750&ssl=1,condiment,"asian, vietnamese, latin","Annatto seed oil, how to make annatto oil, dầu hạt điều, Vietnamese annatto oil, homemade annatto oil recipe, cooking with annatto, Vietnamese recipes with annatto oil, annatto seed oil uses, natural food coloring, Vietnamese cooking tips",,,0,2,2
Dim Sum Braised Chicken Feet with Black Bean Sauce,"Craving authentic Dim Sum? These tender, flavorful braised chicken feet—also known as Feng Zhao—is a must-try dish of gelatinous and cartilage goodness.",https://vickypham.com/blog/dim-sum-style-braised-chicken-feet-black-bean-sauce/,10m,75m,85m,4 serving(s),"[Ingredients] 1 lb chicken feet, 1/4 cup corn starch, Vegetable oil for deep-frying, 8 cups water, 1 inch piece ginger (lightly smash and slice thin), 3 star anise, 1 tablespoon sesame oil, 2 cloves garlic (mince), 1 tablespoon black bean and garlic sauce, 2 tablespoons oyster sauce, 1 1/2 tablespoons granulated sugar, 1/4 teaspoon ground black pepper","[Instructions] 1) [Prepare the chicken feet] Clip the toenails and scrub thoroughly with 1 tablespoon of coarse salt, then rinse. Drain and pat dry with paper towels. Toss the chicken feet in corn starch, shaking off any excess. | 2) [Deep fry] Heat 1 1/2 inches of oil in a pot to 400°F. Deep fry the chicken feet (in batches if necessary) for 5 minutes, or until golden brown. Remove from the oil and drain on a wire rack or a paper towel-lined plate. | 3) [Braise] In a medium pot, bring 8 cups of water to a boil. Add ginger, star anise, and the deep-fried chicken feet. Braise for 1 hour. Reserve 1/4 cup of braising liquid. | 4) [Make the sauce and serve] In a medium skillet or wok, heat sesame oil and sauté garlic until fragrant. Add black bean sauce, oyster sauce, sugar, black pepper, and the reserved braising liquid. Simmer on low for 10 minutes or until the sauce thickens. Toss the chicken feet in the sauce and serve.",https://i0.wp.com/vickypham.com/wp-content/uploads/2024/08/b84f8-chicken-feet-1.jpg?fit=2500%2C2813&ssl=1,"side dish, appetizer","asian, vietnamese, chinese","dim sum chicken feet recipe, braised chicken feet with black bean sauce, Cantonese chicken feet, dim sum style chicken feet, phoenix talons recipe, feng zhao recipe, Chinese chicken feet, black bean sauce chicken feet, dim sum braised chicken feet, how to cook chicken feet, chicken feet black bean sauce, dim sum favorites, traditional dim sum recipe, chicken feet braised recipe, authentic dim sum chicken feet",,,0,3,3
Sweetened Coconut Milk for Vietnamese Desserts (Nuoc Cot Dua An Che),"Vietnamese desserts are often topped with a rich, sweet coconut sauce. Here’s how to make this sauce that perfectly complements a variety of Vietnamese pudding desserts (Chè).",https://vickypham.com/blog/sweetened-coconut-milksauce-asian-desserts-nuoc-cot-dua-an-che/,0m,9m,9m,2 cups,"[Ingredients] 13.5 oz can coconut milk, 1/8 teaspoon salt, 3 whole pandan leaves, 1 tablespoon tapioca starch, 2 1/2 tablespoons granulated sugar, 1/2 teaspoon vanilla extract (optional)","[Instructions] 1) [Heat coconut milk] In a small, heavy-bottom saucepan, whisk together the coconut milk and salt. Use one pandan leaf to wrap the other two in a bundle then add the pandan leaves into the sauce pan. Simmer over medium-low heat until it starts to bubble (about 4 minutes). | 2) [ Dissolve tapioca] Fill the empty coconut milk can halfway with water. Add tapioca starch and whisk until fully dissolved. Pour this mixture into the saucepan and heat for 2 minutes. Keep the heat low and stir occasionally to prevent burning. | 3) [Sweeten] Once the mixture starts to thicken and starts to bubble again, add sugar, and vanilla extract (optional). Continue to cook on low for another 2 minutes, or until the sauce thickens to your desired consistency, then remove from heat. Remove and discard the pandan leaves. | 4) [Finish] Allow the sauce to cool slightly before serving. This coconut sauce will keep at room temperature for a day, or about 3 days in the fridge.",https://i0.wp.com/vickypham.com/wp-content/uploads/2019/01/Sweetened-Coconut-Milk-Sauce-for-Vietnamese-Desserts-Nuoc-Cot-Dua-Recipe.jpg?fit=2500%2C3693&ssl=1,dessert,"asian, vietnamese","sweetened coconut milk sauce, nuoc cot dua recipe, Vietnamese coconut sauce, how to make nuoc cot dua, coconut milk sauce for desserts, Asian coconut sauce, Vietnamese dessert sauce, coconut sauce for che, easy coconut sauce recipe, coconut milk topping for desserts, traditional Vietnamese coconut sauce",,,0,3,3
Vietnamese Crunchy Pickled Jalapenos (Ot Ngam Giam),"Say goodbye to bland, mushy pickled jalapenos! These refrigerator pickled jalapenos are crisp and full of flavor. This recipe makes about 2 cups.",https://vickypham.com/blog/vietnamese-crunchy-pickled-jalapenos-ot-ngam-giam/,5m,5m,10m,2 cups,"[Ingredients] 1 cup water, 1 cup distilled 5% white vinegar, ½ cup granulated sugar, 1 tablespoon sea salt, 32-oz airtight container, 10 fresh jalapeno peppers","[Instructions] 1) [Make the Brine] In a small saucepan, combine the water, vinegar, sugar and salt. Bring the mixture to a boil or until the sugar dissolves completely. Turn off the heat and set aside to cool to warm or room temperature. You don’t want it hot because it will cook the jalapenos instead and soften them over time. | 2) [Slice Jalapenos] While waiting for the brine to cool, slice up the jalapenos. I like it about 1/8-inch thick. For those who don’t like it spicy, you can shake out the seeds in a colander with wide holes. The seeds mainly hold all the spiciness so fewer seeds means less spicy. Transfer the sliced jalapenos into a container with a lid. | 3) [Cover with Brine and Store] Pour the cooled brine over the sliced jalapenos and store it in the fridge. It should be ready to enjoy the next day.",https://i0.wp.com/vickypham.com/wp-content/uploads/2024/08/ca7ea-2024_05_09eosm509242.jpg?fit=2500%2C2500&ssl=1,"condiment, side dish","asian, vietnamese","pickled jalapeños, pickled jalapeño recipe, how to make pickled jalapenos, Vietnamese pickled jalapenos, Vietnamese pickled jalapenos recipe, Asian pickled jalapenos, Asian pickled jalapeno recipe, refrigerator pickled jalapenos, how to make noodle soup pickled jalapenos, easy pickled jalapeños, Vietnamese crunchy pickled jalapenos, Chinese crunchy pickled jalapenos, ot ngam giam, ot ngam giam recipe, ớt ngâm giấm chua ngọt, ớt ngâm giấm, ot ngam giam chua ngot, pickled, jalapenos, refrigerator pickles, refrigerator pickled jalapeno recipe",,,0,2,2
Vietnamese Duck Noodle Soup with Bamboo Shoots (Bun Mang Vit),"A hearty traditional Vietnamese noodle soup with tender duck (or replace with chicken), flavorful broth, and the unique taste of bamboo shoots. An easy to follow recipe, full of traditional flavors.",https://vickypham.com/blog/vietnamese-duck-noodle-soup-bamboo-shoots-bun-mang-vit/,345m,100m,445m,4 serving(s),"[Ingredients] 1 lb dried bamboo (presoak overnight), 1/4 cup neutral oil, 2 large shallots (peel and mince), 5 cloves garlic (peel and mince), 2 teaspoons chicken bouillon powder, 2 teaspoons salt, 1 teaspoon granulated sugar, 1 whole duck (remove fatty butt end), 1/4 cup smashed and minced fresh ginger (no need to peel), 1 tablespoon salt, 1/4 cup white vinegar, 3 quarts water, 2 whole yellow onions (peel outer layer; leave whole), 3 oz ginger (unpeeled, cut into thick slices), 150 grams rock sugar, 2 tablespoons salt, 2 tablespoons chicken bouillon powder, 1 lb dried vermicelli rice noodles (medium), 1 yellow onion (peel and slice thin), Green onions (slice thin), Cilantro (roughly chop), Shredded white or purple cabbage, Mint leaves, Vietnamese coriander leaves(Rau Ram), Lime/lemon wedges, Fried shallots, Ginger Fish Sauce Dipping Sauce","[Instructions] 1) [Prepare the dried bamboo] Soak dried bamboo in water overnight or at least 5 hours to soften. Wash bamboo few times and squeeze out excess water until water runs clear. In a large stock pot, bring water to a boil then add bamboo. Boil for 15 minutes then drain into a colander placed in the sink to discard water. Repeat the boiling until water is clear and no longer yellow. For this particular batch of dried bamboo, I had to do a total of three boilings to get rid of all that yellow water. Drain bamboo and give it a final wash/rinse then drain dry. Cut off any hard stubs and shred (follow the grain) into thin bite-size strips. | 2) [Roast aromatics] Roast yellow onions and ginger in oven at 350°F for 40 minutes. | 3) [Pan fry bamboo] In a small skillet, add vegetable oil and heat on medium high. Add shallots and sauté until fragrant. Add garlic next and sauté until fragrant. Add shredded bamboo. Pan-fry and evenly toss in aromatics. Season bamboo with chicken bouillon powder, sea salt and sugar. Set aside. | 4) [Prepare the duck] Clean the duck by rubbing ginger, salt and vinegar all over the skin and insides of the duck. Use the abrasive action of the salt to scrub and remove the foul poultry smell. Rinse duck and drain dry. | 5) [Make the broth] In a large stock pot, bring 3 quarts water to a boil. Add duck, yellow onions and sliced ginger. Simmer on medium low and occasionally skim off any foam that rise to the top. After 25 minutes, duck should be cooked. Double check that the internal temperature reaches 165°F. Transfer duck to an ice bath. Remove whole onions and ginger and discard. Add sautéed bamboo to the stock pot and simmer on medium low for one hour. Season stock with rock sugar, sea salt and bouillon powder. Once duck is cooled, chop duck into bite-size pieces with a large mallet. Set aside. | 6) [Noodles] Cook noodles per package instructions and prepare the vegetables and garnishes. | 7) [Assemble] Add vermicelli noodles to the bottom of a bowl. Add a few slices/chunk of duck, ladle in hot broth with bamboo shoots, and garnish bowl with sliced yellow onion, green onions, cilantro, cabbage, mint and coriander. Top bowl with fried shallots and a lemon wedge for squeezing. Serve bowl of duck noodle soup with a side of ginger fish sauce for dipping duck meat.",https://i0.wp.com/vickypham.com/wp-content/uploads/2024/09/bun-mang.jpg?fit=2500%2C1575&ssl=1,entree,"asian, vietnamese","Vietnamese duck noodle soup, bun mang vit, bamboo shoots recipe, duck soup recipe, traditional Vietnamese soup, how to make duck noodle soup, Vietnamese noodle soup with duck, authentic bun mang vit recipe, duck and bamboo shoot soup, Vietnamese noodle soup recipe",,,0,7,7
Classic Vietnamese Fish Sauce Dipping Sauce (Nước Mắm Chấm),"A key Vietnamese sauce made from fish sauce, lime juice, and sugar, adding rich umami flavor to countless dishes. It's a must-have staple in every Vietnamese kitchen.",https://vickypham.com/blog/vietnamese-fish-sauce-dipping-sauce-nuoc-mam-cham/,5m,5m,5m,8 serving(s),"[Ingredients] 1 cup hot water, ¾ cup granulated sugar, ¾ cup fish sauce (Viet Huong’s Three Crabs brand), 3 tablespoons lime juice, 1 cup coconut soda (Coco Rico brand), 6 garlic cloves (thinly slice or smash with a garlic press), 2 Thai chili peppers (thinly slice)","[Instructions] 1) [Mix water and sugar] Combine hot water and sugar. Mix until dissolved. | 2) [Add remaining ingredients] Add fish sauce, lime juice, coconut soda, garlic, and chili peppers. Mix until combined.",https://i0.wp.com/vickypham.com/wp-content/uploads/2024/08/caaf3-nuoc-mam-cham-fish-sauce-dipping-sauce-1.jpg?fit=2500%2C2500&ssl=1,condiment,"asian, vietnamese","nước mắm chấm, nước chấm, nước mắm, nuoc cham, Vietnamese dipping sauce recipe, Vietnamese fish sauce dip, Vietnamese dipping sauce, nuoc mam cham recipe, nuoc cham recipe, nuoc cham sauce recipe, Vietnamese dipping sauce with fish sauce, classic Vietnamese dipping sauce, traditional Vietnamese dipping sauce, Asian sauce, fish sauce, fish sauce recipe, Vietnamese fish sauce dipping sauce, Vietnamese dipping sauce, Vietnam mother sauce, what to eat nuoc cham with, is nuoc cham the same as fish sauce, Vietnamese fish sauce recipe, traditional Vietnamese dipping sauce recipe, traditional Vietnamese dipping sauce, how to make traditional Vietnamese dipping sauce",,,0,11,11
Vietnamese Ginger Fish Sauce (Nuoc Mam Gung),"A traditional Vietnamese dipping sauce for poached chicken, duck and grilled seafood. It’s sweet, sour and spicy with a nice zing from freshly grated ginger.",https://vickypham.com/blog/vietnamese-ginger-fish-sauce-nuoc-mam-gung/,5m,5m,5m,1/3 cup,"[Ingredients] 1/4 cup fish sauce, 2 tablespoons granulated white sugar, 1-inch piece fresh ginger (peel and thinly slice against the grain), 5 garlic cloves (peel), Juice of half a large lime, 1 or 2 red chili peppers (slice thin; remove seeds to reduce heat if needed)","[Instructions] 1) [Dissolve sugar: ] In a medium bowl, mix together fish sauce and sugar until completely dissolved. | 2) [Prepare the aromatics: ] Pound ginger and garlic cloves with a mortar and pestle until completely pulverized. Alternatively, run both through a garlic press or smash with the back of a large knife. | 3) [Finish: ] Add smashed ginger, garlic, lime juice and chili peppers. Stir to combine. Serve with your favorite dishes and enjoy.",https://i0.wp.com/vickypham.com/wp-content/uploads/2024/08/f819f-nuocmamgunggingerfishsaucepinterest285of129.jpg?fit=2500%2C2500&ssl=1,condiment,"asian, vietnamese, southeast asian","Vietnamese ginger fish sauce, how to make ginger fish sauce, how to make ginger dipping sauce, Nuoc Mam Gung recipe, ginger dipping sauce, Vietnamese dipping sauce, fish sauce with ginger, ginger fish sauce for boiled meats, authentic Vietnamese sauce, easy fish sauce recipe, spicy ginger fish sauce, homemade Nuoc Mam Gung, Vietnamese condiment",,,0,9,9
Vietnamese Peanut Dipping Sauce for Spring Rolls (Tương Chấm Gỏi Cuốn),Classic creamy Vietnamese peanut sauce for fresh spring rolls and summer rolls. This recipe makes about 2 cups.,https://vickypham.com/blog/vietnamese-peanut-sauce-spring-rolls/,3m,2m,5m,4 servings,"[Ingredients] 1 tablespoon neutral oil, 1 tablespoon minced fresh garlic, 1 cup water or low-sodium chicken stock, ¼ cup hoisin sauce, ½ cup sweetened creamy peanut butter, ½ cup coarsely chopped unsalted toasted peanuts (optional), Sriracha chili sauce (optional)","[Instructions] 1) [Fry the garlic] In a small pot, heat oil on medium-high. Add garlic and sauté until fragrant (about 20 seconds). | 2) [Make the sauce] Add water or low-sodium stock and peanut butter. Whisk until smooth. Mix in hoisin sauce. Simmer on low for about one minute or until the mixture begins to bubble. Remove from heat. If too thick, whisk in a little bit more water/stock. If too thin, let it simmer a little longer for some moisture to evaporate. Keep in mind that the sauce will thicken as it cools. | 3) [Serve] Transfer to individual sauce bowls, top with a sprinkle of toasted peanuts (optional) and a drizzle of Sriracha chili sauce (optional). Serve with spring/summer rolls.",https://i0.wp.com/vickypham.com/wp-content/uploads/2024/08/69bf3-eosm50_0015.jpg?fit=2500%2C2500&ssl=1,Condiment,"Asian, Vietnamese","Vietnamese peanut sauce, Vietnamese peanut sauce recipe, Vietnamese peanut sauce recipe for spring rolls, Vietnamese peanut sauce recipe for summer rolls, authentic peanut sauce for spring rolls, peanut sauce recipe, how to make Vietnamese peanut sauce, sauce for spring rolls, sauce for summer rolls, spring roll dipping sauce, peanut dipping sauce, peanut dipping sauce for spring rolls, best Vietnamese peanut sauce, best Vietnamese peanut sauce recipe, how to make Vietnamese peanut sauce, nuoc cham goi cuon, easy Vietnamese peanut sauce recipe, peanut sauce recipe easy, nước chấm gỏi cuốn, nuoc tuong cham goi cuon, nước tương chấm gỏi cuốn, nuoc tuong cham goi cuon, spring roll sauce, summer roll sauce, spring roll peanut sauce, summer roll peanut sauce",,5.0,2,27,29
Banh Canh Cua: Vietnamese Crab Thick Noodle Soup,"Looking for a comforting bowl of soup? This noodle soup comes with shrimp, crab, and thick, chewy noodles in a flavorful broth. It’s a quick and easy seafood dish, perfect for warming the soul during soup season.",https://vickypham.com/blog/vietnamese-shrimp-crab-thick-noodle-soup-banh-canh-tom-cua/,48m,60m,108m,6 serving(s),"[Ingredients] 1 large yellow onion or 4 shallots (leave whole), 3 lb pork bones (neck bones and/or spareribs), 1 teaspoon (for cleaning) plus 1 tablespoon sea salt (for stock), 3 quarts water, 1 small daikon (peel and cut into chunks), 2 tablespoons chicken bouillon powder, 1 tablespoon plus 1 teaspoon granulated sugar, 1 teaspoon fish sauce, 1 tablespoon annatto oil, 1/4 cup tapioca starch, 1/2 cup cold water, 2 lbs Banh Canh or Udon Noodles, 1/2 teaspoon sesame oil, 1 lb cooked crab meat, 1 tablespoon annatto oil or neutral oil, 1 teaspoon minced garlic, 15 cooked shrimp (size 21-25, peel and devein), Ground black pepper, 2 scallions/green onions (slice thinly), Small bunch cilantro (slice thinly), Fried shallots, 1 lime (cut into wedges)","[Instructions] 1) [Roast onion/shallots] in the oven at 350°F for about 40 minutes or until soft. Allow them to cool then peel/scrap off all charred areas to prevent browning the broth. Set aside. | 2) [Clean the pork bones thoroughly: ] Add the pork bones to a large stock pot and fill with water to cover by 1 inch. Add salt (1 teaspoon). Parboil the bones for 8 minutes or when you see a lot of foam forming. Drain content of the pot into a colander placed in the sink and rinse bones under cold running water. This cleaning will keep the stock clear. It also helps to get rid of the foul pork smell. | 3) [Make the stock] Clean the pot thoroughly and return to stove. Add water (3 quarts), cleaned pork bones, roasted onion/shallots and daikon. Bring pot to a boil and reduce the heat to a very low simmer. Cook for 1 hour, uncovered. Remove onions/shallots and daikon from the pot and discard. | 4) [Season stock ] with stock bouillon powder, sugar, salt (1 tablespoon) and fish sauce. Add annatto oil and/or food coloring to the stock for color (optional). | 5) [Thicken the broth: ] In a small bowl, mix tapioca starch and water (1/2 cup) until completely dissolved. Add slurry to broth and simmer for an additional 5 minute to thicken. | 6) [Cook the noodles per packaged instructions] Toss gently with sesame seed oil to prevent sticking. | 7) [Prepare the crab] Heat annatto or neutral oil (1 tablespoon) in a small skillet at medium-high. Add garlic and pan-fry until fragrant. Add cooked crab meat and lightly sauté until colored and aromatic. Set aside. | 8) [Assemble: ] Add a handful of Banh Canh noodles into a bowl. Ladle broth over noodles. Add 2 or 3 shrimp, desired amount of crab meat and pork spare ribs from broth. Garnish with a sprinkle of black pepper, scallions/green onions, cilantro and fried shallots. Serve with a wedge of lime on the side and enjoy.",https://i0.wp.com/vickypham.com/wp-content/uploads/2024/08/76d96-banh-canh-cua-crab-1.jpg?fit=2500%2C1667&ssl=1,entree,"asian, vietnamese","Banh Canh Cua, Vietnamese shrimp crab noodle soup, Bánh Canh Tôm Cua recipe, Vietnamese thick noodle soup, shrimp and crab soup, authentic Vietnamese soup, easy Vietnamese seafood soup, Vietnamese comfort food, Bánh Canh recipe, Vietnamese street food recipe, seafood noodle soup, Vietnamese soup with thick noodles, shrimp and crab noodle broth, traditional Banh Canh Cua, Banh Canh Cua recipe, Vietnamese crab noodle soup",,,0,6,6
Vietnamese Sweet and Sour Shrimp Soup with Pineapple (Canh Chua Tom Nau Thom),"A shrimp-based soup with a variety of fresh vegetables and herbs to produce contrasting yet complementary textures and flavors. Sweet, savory, sour, and spicy, this soup is the epitome of Vietnamese home cooking.",https://vickypham.com/blog/vietnamese-sweet-sour-shrimp-soup-pineapple-canh-chua-tom-nau-thom/,10m,15m,25m,3 serving(s),"[Ingredients] 6 extra-large whole shrimp (head-on, tail-on), 1 teaspoon sea salt, 2 tablespoons vegetable oil, 4 garlic cloves, 32 oz chicken broth (see notes), 30 grams tamarind pulp, 2 teaspoons fish sauce, 1 teaspoon MSG (optional), 3 tablespoons granulated sugar, 5 oz okra, 5 oz pineapple, 1 large tomato, 2 tablespoons minced rice paddy herbs, Thai basil, culantro or cilantro, Thai chili pepper (optional)","[Instructions] 1) [Prepare the ingredients] Devein the shrimp by inserting a toothpick underneath the vein and between the shells. Pull up to remove. Give the shrimp a quick rinse, if needed. Peel and finely dice the garlic cloves. Cut the pineapples into small bite-size chunks. If using large okra, halve at a diagonal. Otherwise, leave okra whole. Quarter the tomatoes. Set everything aside. | 2) [Pan fry aromatics] In a medium pot, heat oil on medium-high. Add garlic and fry until golden brown. Set aside half of the fried garlic for garnish. Add chicken stock to the pot with the remaining garlic and bring the pot to a boil. | 3) [Tamarind] Add tamarind pulp to a mesh strainer and lower it into the stockpot. Use the back of a spoon to help push the pulp through the strainer. Discard remains. | 4) [Season stock] Add salt, fish sauce, optional MSG and sugar (a little at a time) to taste. | 5) [Shrimp and vegetables] Add shrimp. When shrimp start to turn color, add okra and pineapple. Cook for 1-2 minutes. Lastly, add tomatoes and immediately turn off the heat. | 6) [Garnish and serve] Garnish soup with fried garlic from earlier, Thai chili peppers, and either rice paddy herbs, Thai basil, culantro, or cilantro. Serve with steamed rice and one of the following traditional Vietnamese protein dishes for a complete meal.",https://i0.wp.com/vickypham.com/wp-content/uploads/2024/08/23314-canh-chua-tom-sweet-sour-shrimp-soup5.jpg?fit=2500%2C3519&ssl=1,side dish,"asian, vietnamese","canh chua, canh chua recipe, how to make canh chua, vietnamese sweet and sour soup, vietnamese sweet and sour soup recipe, canh chua tom, canh chua tom recipe, vietnamese, soup recipe, vietnamese soup recipe with shrimp, vietnamese shrimp recipe, vietnamese home cooking recipe, Vietnamese canh chua recipe, canh chua recipe tamarind soup base, canh chua tamarind, canh chua easy recipe, vietnamese sour soup recipe, vietnamese sour soup, vietnamese sour soup pineapple",,,0,12,12
Chinese-Style Pork and Organ Noodle Soup (Mi Nguoi Hoa),"A Chinese inspired egg noodle soup in a clear and flavorful pork broth. Choose from a variety of toppings, including blanched choy sum, wontons, squid, shrimp, ground pork, and thinly sliced organs like kidney, heart and liver.",https://vickypham.com/blog/chinese-style-pork-noodle-soup-mi-nguoi-hoa/,45m,3m,48m,6 serving(s),"[Ingredients] 1 1/2 lbs pork shank bones with marrow, 4 liters water, 1 small dried squid (lightly rinse, pat dry and toast in oven at 400°F for 10 minutes), 1/4 cup dried salted shrimp (lightly rinse, pat dry and toast in oven at 400°F for 10 minutes), 2 tablespoons rock sugar (38 grams), 1 tablespoon MSG (replace with fish sauce if you don’t eat MSG), 1 1/2 tablespoons salt, 1 pork kidney, 1 pork heart, 1/2 cup wheat flour, 1 teaspooon salt, 1 tablespoon vinegar, 1 large shallot (slice thin), 1 large knob ginger (smash and slice thinly), BBQ pork (thit xa xiu), Shrimp and pork wontons (hoanh thanh), Fried pork fat (tep mo), Cooked squid, 1/2 cup vegetable oil, 1 small onion (dice), 3 medium-size shallots (dice), 4 garlic cloves (roughly chop), 1 lb Choy Sum (cut into bite size pieces), 3 green onions (optional; slice thinly), 3 sprigs cilantro (optional; slice thinly), 2 lbs fresh egg noodles, 1 tablespoon sesame oil","[Instructions] 1) [Prepare the Stock] In a stock pot, add parboiled pork bones, 4 liters water, dried squid and dried shrimp. Bring pot to a boil then reduce heat to a low simmer. Cook uncovered for 3 hours and occasionally skim off any impurities that float to the top with a spoon or fine mesh. | 2) [Prepare the Organ Meat] Butterfly the kidney and remove the connecting white muscles at the center. Butterfly the pork heart and rinse out any remaining blood. Place kidney and heart in a bowl and vigorously rub with wheat flour. The flour will absorb any foul organ smell. Rinse organs thoroughly under cold running water then drain dry. Slice the pork kidney at an angel into thin slices and set aside. Leave heart unsliced for now. | 3) [Cook the Organ Meat] Bring a small pot to a boil. Add salt, vinegar and shallot. Add heart and cook for about 20 minutes or when pierced with a knife or chopstick, until liquid runs clear. Transfer heart to an ice bath. Once cool enough to handle, slice thinly and store in clean water. To the same pot, add smashed ginger and bring it back to a boil. Add sliced pork kidney and cook for 2-3 minutes. Do not overcook as kidney will toughen. Remove sliced kidney from pot and place in ice bath. Also store pork kidney in water to prevent darkening. | 4) [Prepare Aromatic Oil] In a small frying pan, add vegetable oil and heat on medium-high. Add onion and shallots. Fry until lightly brown. Add garlic. Continue to fry until the garlic is golden brown. Set aside. | 5) [Blanch the Choy Sum] In a small pot, bring water to a boil. Add a bit of the aromatic oil to the water. Add Choy Sum and blanch for 2 minutes or until bright green. Transfer Choy Sum to an ice bath then drain dry. | 6) [Cook the Egg Noodles] Unlike rice noodles, egg noodles can be cooked all at once. Since egg noodles tend to clump together, place all the egg noodles in a large mixing bowl and use your fingers to separate them into individual strands. Bring a large pot to a boil then add noodles. Boil for 4-5 minutes. Place a colander into the sink and drain noodles into the colander. Rinse with cold running water then drain dry. Toss evenly with sesame oil to prevent sticking. | 7) [Season the Stock] Return to the pork stock pot and season with rock sugar, MSG (or fish sauce) and salt. It’s best to add a little at a time to suit your liking. | 8) [Assemble the Bowl] To serve, add a large handful of egg noodles to a individual serving bowl. Add organ meat, other desired meats, Choy Sum, a teaspoon of aromatic oil and fried pork fat (tep mo). Ladle in hot broth and garnish with green onions and cilantro.",https://i0.wp.com/vickypham.com/wp-content/uploads/2024/08/1d8ac-chinese-style-pork-noodle-soup-mi-nguoi-hoa1.jpg?fit=2500%2C2286&ssl=1,Main Dish,Chinese,"Chinese-style pork noodle soup, Mi Nguoi Hoa, Vietnamese organ soup, pork and organ noodle soup, egg noodle soup recipe, Vietnamese-Chinese noodle soup, pork stock soup, choy sum noodle soup, authentic noodle soup recipe, seafood noodle soup with pork, Mi Thanh Ky",,,0,0,0
Seafood Boil Sauce: Garlic Butter Lemon Pepper,"A seafood boil with King crab legs, clams, shrimp, sausage, and sweet corn, all tossed in a fiery garlic lemon pepper sauce—perfect for a feast.",https://vickypham.com/blog/seafood-boil-sauce-garlic-butter-lemon-pepper/,15m,30m,45m,8 serving(s),"[Ingredients] 3 sausage links (cut into chunks), 4 ears of corn (cut into chunks), 3 lbs precooked King crab legs (cut into chunks and precut with kitchen sheers), 3 lbs clams, 2 lbs shrimp (head-on), 4 sticks of butter (1 lb/16 oz), 3 heads of garlic (chop in food processor or through a garlic press), 1 teaspoon Old Bay seasoning, 1 teaspoon Cajun seasoning, 2 tablespoons lemon pepper seasoning, 2 tablespoons ground cayenne pepper (if not available, substitute with paprika or chili powder), 2 tablespoons granulated white sugar","[Instructions] 1) [Steam the Seafood] Corn takes about 15-20 minutes. Clams (8-10 minutes) and shrimp (5-7 minutes). | 2) [Prepare the Butter Sauce] In a medium size sauce pan, melt butter on medium high heat. Add minced garlic and cook for 2-3 minutes until fragrant. Add Old Bay seasoning, Cajun seasoning, lemon pepper seasoning, cayenne and sugar. Stir until combined. Add to seafood. | 3) [Serve] Serve hot with your choice of dipping sauces and sides. Enjoy!",https://i0.wp.com/vickypham.com/wp-content/uploads/2024/08/307e9-seafood-boil-sauce-garlic-lemon-pepper5.jpg?fit=2145%2C2145&ssl=1,Main Course,"American, Cajun, Vietnamese Fusion","seafood boil, garlic butter sauce, lemon pepper sauce, Cajun seafood boil, King crab recipe, shrimp boil, clam boil, holiday seafood recipe",,,0,6,6
