title,description,url,prep_time,cook_time,total_time,servings,ingredients,instructions,image_url,recipe_category,recipe_cuisine,keywords,calories,rating_value,rating_count,review_count
Chicken Corn Soup,"Simple ingredients, great taste, ready in minutes. Chinese chicken corn soup is the perfect fix when you crave something warm, filling, and comforting.",https://redhousespice.com/chicken-corn-soup/,8m,5m,13m,4 servings,"[Ingredients] 5 oz chicken any boneless, skinless cuts (see note 1) ,1 teaspoon light soy sauce ,2 tablespoon cornstarch divided ,1½ cup sweetcorn kernels or a can of cream-style sweetcorn (see note 2) ,4 cups chicken stock or vegetable stock ,2 eggs lightly beaten ,1 teaspoon sesame oil ,¼ teaspoon ground white pepper ,Salt to taste ,1 stalk scallions finely chopped","[Instructions] 1) Cut the chicken into tiny pieces, about the size of sweetcorn kernels. Place them in a bowl and add light soy sauce, 1 tablespoon cornstarch, and 1 tablespoon water. Mix well and set aside. | 2) Prepare the sweetcorn. You can use fresh kernels cut from the cob, canned kernels (drained), or frozen ones. Coarsely chop them, or pulse briefly in a food processor or blender until about half the kernels are mushy while the rest remain whole (see note 2 if using canned cream-style sweetcorn). | 3) Bring the stock to a full boil, then add the sweetcorn along with any juice. Once the soup returns to a gentle boil, stir in the marinated chicken, swirling immediately to separate the pieces. | 4) Slowly drizzle in the beaten egg in a thin stream. Mix the remaining 1 tablespoon cornstarch with a little water to make a slurry, then pour it into the pot to thicken the soup. | 5) Finally, season with white pepper, salt, and sesame oil. Turn off the heat and garnish with chopped scallions before serving.",https://redhousespice.com/wp-content/uploads/2025/08/chicken-corn-soup-5.jpg,Soup,Chinese,chicken soup,188 kcal,5.0,1.0,3.0
"Chicken Feet, Dim Sum Style (豉汁凤爪)",Try this quick and easy method to make dim sum style chicken feet. This home-style recipe offers the same flavour and tenderness with less time and effort.,https://redhousespice.com/chicken-feet/,5m,40m,45m,4 servings,"[Ingredients] 500 g chicken feet about 1.1 lb (14-16 feet) ,Neutral cooking oil for air-frying (optional) | [For braising] ½ tablespoon neutral cooking oil ,4 cloves garlic, crushed ,4 slices ginger ,1 star anise ,2 bay leaves ,4 dried chilli pepper ,1 tablespoon fermented black beans optional (see note 2) ,1 tablespoon oyster sauce ,1 tablespoon light soy sauce ,½ tablespoon dark soy sauce ,1 tablespoon Shaoxing rice wine ,½ teaspoon white sugar","[Blanching] 1) Chop off the nails of the chicken feet. Wash thoroughly. Put them into a pot and add plenty of tap water. Bring it to a full boil then leave to simmer for 5 minutes. Drain well. | [Air-frying (optional, see note 2)] 1) Coat the drained feet with a thin layer of oil (spray over or rub with hands). Put into an air fryer preheated at 200°C/390°F. Leave to fry for about 10 minutes until the skin blisters (open the drawer to flip and shake the feet a couple of times during the process). | 2) Transfer the fried feet to a large bowl filled with cold water. Leave to soak in the fridge for about 2 hours. Then drain well. | [Braising] 1) Add ½ tablespoon of oil to a wok/pot. Add garlic, ginger, star anise, bay leaves, dried chilli and fermented black beans (if using). Fry over low heat until the garlic turns lightly golden and fragrant (do not burn). | 2) Put in the chicken feet, along with oyster sauce, light and dark soy sauce, Shaoxing rice wine and sugar. Pour in 400ml (1¾ cups) hot water. Bring to a boil then cover with a lid. Leave to simmer over low heat for 30 minutes until the skin becomes very tender (extend the time to 40 minutes if the feet haven’t been air-fried). | 3) Finally, turn the heat up to high. Cook uncovered to thicken the cooking liquid. | [Serving and storing] 1) You may enjoy them warm or at room temperature. Store the leftovers in the fridge for up to 3 days or freeze for up to 2 months. | 2) Bring back to room temperature to serve or steam to reheat.",https://redhousespice.com/wp-content/uploads/2022/04/classic-chicken-feet-dish-scaled.jpg,Appetizer,Chinese,"Cantonese, Chicken, Dim Sum",330 kcal,5.0,102.0,132.0
Chinese BBQ Ribs (叉烧排骨),"Richly seasoned and perfectly roasted, Chinese BBQ ribs are an easy and tasty way to cook pork ribs. Both oven-roasting and air-frying methods are included.",https://redhousespice.com/chinese-bbq-ribs/,5m,45m,290m,4 servings,"[Ingredients] 2 racks pork ribs each rack measures about 1.5 lbs (680g) ,6 tablespoon char siu sauce or hoisin sauce (see note 1) ,2 tablespoon oyster sauce ,1 tablespoon light soy sauce ,½ teaspoon Chinese five-spice powder ,½ teaspoon garlic powder or fine garlic paste ,1 teaspoon ground chili see note 2 ,Red food coloring optional ,1 thumb-sized ginger sliced ,1 tablespoon honey or syrup","[Marinate] 1) Lay each rack of ribs on a piece of aluminium foil (big enough to wrap around the ribs. Use two layers if the foil is very thin). Tear off the membrane from the back of the ribs. | 2) In a bowl, mix char siu sauce, oyster sauce, light soy sauce, five-spice powder, garlic powder, ground chili, and food coloring (if using) until well combined. | 3) Generously brush the mixture over both sides of the ribs. Then place sliced ginger over the top of the ribs. Wrap each rack tightly with the foil. | 4) Leave to marinate in the fridge for at least 4 hours (Do not exceed 24 hours). Bring them back to room temperature 1 hour before you start the roasting process. | [Option 1: Oven-Roasting] 1) Preheat the oven to 410°F (210°C/Fan 190°C/Gas 6). | 2) Take the ribs out of the foil (discard the ginger) and place them onto a wire rack that sits inside a roasting tray. Add some hot water to the tray (make sure it doesn’t touch the ribs). | 3) Place the tray into the oven. Leave to roast for 35 minutes (add more water if when it dries out). | 4) Take out and brush a layer of honey over the topside of the ribs. Put the tray back into the oven (add more water if necessary). | 5) Increase the oven temperature to 425°F (220°C/Fan 200°C/Gas 7). Roast for a further 10 minutes or so until the ribs char a little on the edge. | [Option 2: Air-Frying] 1) Preheat the air-fryer at 390°F (200°C) for 3 minutes. | 2) Place the marinated ribs (discard the ginger) over the crisper tray without overlapping. Cook for 10 minutes. | 3) Brush honey over the top side of the ribs. Cook 2 more minutes until the ribs char a little. | [Rest & serve] 1) Allow the ribs to rest for 10 minutes. Separate each rib with a sharp knife and serve immediately.",https://redhousespice.com/wp-content/uploads/2022/11/chinese-bbq-ribs-in-pieces-scaled.jpg,Main Course,Chinese,"BBQ pork ribs, BBQ ribs, Roast ribs",,4.96,24.0,49.0
Chinese Broccoli (Gai Lan) Two Ways,"Learn to cook Chinese broccoli in two ways: blanched and seasoned with oyster sauce or stir-fried with ginger and garlic. Both are simple, delicious and healthy.",https://redhousespice.com/chinese-broccoli-two-ways/,8m,3m,11m,2 servings for each version,"[For the blanched version] 250 g Chinese broccoli (Gai Lan) about 9oz (weight after trimming) ,1 teaspoon salt ,2 teaspoon neutral cooking oil divided ,2 cloves garlic, sliced ,1½ tablespoon oyster sauce see note 1 & 2 ,½ teaspoon dark soy sauce see note 2 ,½ teaspoon sugar ,½ teaspoon cornstarch ,3 tablespoon water | [For the stir-fried version] 250 g Chinese broccoli (Gai Lan) about 9oz (weight after trimming) ,1 tablespoon neutral cooking oil see note 3 ,1 teaspoon minced ginger ,1 teaspoon minced garlic ,1 teaspoon Shaoxing rice wine ,½ teaspoon sugar ,¼ teaspoon salt","[For the blanched version] 1) Wash Chinese broccoli thoroughly. Trim off the hard ends of the stems, then peel their skin. Discard any yellowish leaves. | 2) Pour plenty of water into a pot/wok. Add salt and 1 teaspoon of oil. Bring it to a full boil. Put in the Chinese broccoli. Press down to fully immerse. Cover with a lid. Leave to blanch for 1 minute or so until the stem part is cooked but remains crunchy. | 3) While waiting for the vegetable to cook, prepare the sauce. Start by sizzling garlic in the remaining 1 teaspoon of oil. Pour in the mixture of oyster sauce, dark soy sauce, sugar, cornstarch and water. Simmer over low heat until the desired consistency appears (thick but still runny). | 4) On a plate, line and lay up the cooked Chinese Broccoli neatly (just like what dim sum restaurants do). Pour the sauce over and serve immediately with steamed rice , along with other savoury dishes. | [For the stir-fried version] 1) Wash Chinese broccoli thoroughly. Trim off the hard ends of the stems. Discard any yellowish leaves. Slice diagonally into small pieces. | 2) Warm up the wok over medium-high heat until smoking hot. Pour in oil. Add ginger and garlic to sizzle until fragrant (do not burn). | 3) Put in the Chinese broccoli. Toss well to evenly coat it with the oil. Add Shaoxing rice wine. Cover with a lid immediately and leave to steam for about 1 minute. | 4) Remove the lid. Season with salt and sugar. Toss and stir for a further 30 seconds or so. Taste to check the doneness. The stem part should be cooked but still crunchy to bite.",https://redhousespice.com/wp-content/uploads/2021/11/chinese-broccoli-with-oyster-sauce-scaled.jpg,Side Dish,Chinese,"Stir-fry, Vegan, Vegetables, Vegetarian",,5.0,10.0,12.0
"Chinese Spring Rolls (春卷), Deep-Fried or Air-Fried",A tried and tested recipe for Chinese spring rolls. You don’t need to precook the filling. Two frying methods are provided.,https://redhousespice.com/chinese-spring-rolls/,30m,15m,45m,15 large rolls,"[For the wrappers] 15 large flour-based spring roll wrappers 25×25cm (10×10 inches), see note 1 | [For the filling] 200 g minced pork (or chicken/beef) 7oz ,120 g shrimp, shelled and cubed 4oz ,120 g carrot, grated about 2 cups ,130 g bean sprouts about 2 cups ,100 g Chinese chives, cut into sections (or finely shredded cabbage) about 2 cups ,6 shiitake mushrooms thinly sliced (rehydrate beforehand if using dried ones) ,2 stalks scallions, finely chopped ,100 g dried mung bean vermicelli, rehydrated and cut into sections about 2 cups after soaking ,2 eggs | [For the seasoning] 2 tablespoon oyster sauce see note 2 for substitutes ,1 teaspoon sesame oil ,½ teaspoon salt ,½ teaspoon sugar ,¼ teaspoon ground white or black pepper | [For frying] Cooking oil for deep frying or air-frying see note 3 | [For the dipping sauce (optional)] 2 tablespoon white rice vinegar (or fresh lemon/lime juice) ,1 teaspoon light soy sauce ,1 pinch sugar ,1 clove garlic, minced ,Fresh chili pepper, finely chopped to taste","[Instructions] 1) Ready-made spring roll wrappers usually come frozen. Defrost in the fridge the night before. | [Mix the filling] 1) Put all the ingredients for the filling into a large mixing bowl (NB: leave out one egg yolk for brushing the wrappers). | 2) Add all the seasonings. Mix until well combined (It’s best to do so with your hands. Wear kitchen gloves if available). | [Assemble the rolls] 1) Gently separate the spring roll wrappers one by one. Remember to always cover them with a clean damp cloth as they dry out easily. | 2) Place one wrapper on a flat surface with one of the four corners facing towards you. Put about 3 tablespoon of the filling above the closest corner (Use a spoon to help shape it into a rectangle). | 3) Lift the closest corner to wrap the filling then roll it to the half-line of the wrapper. Try to wrap it as tight as possible without leaving any air pockets inside. But be gentle during this process to avoid tearing. | 4) Lightly press two ends of the filling then fold the left and right corners of the wrapper towards the middle. | 5) Roll the cylinder until only a triangle is left at the top. Brush a layer of egg yolk over the triangle. Roll again to seal completely. Repeat to assemble all the rolls. | [Option 1: Deep fry the rolls] 1) Heat the oil for deep frying until it reaches 180°C/350°F. Gently slide in the rolls one by one (Do not overcrowd. Fry them in batches if necessary). | 2) Fry over medium heat. Flip over a few times to ensure even browning. When they become golden, transfer out to a tray lined with kitchen paper to absorb excess oil. | [Option 2: Air fry the rolls] 1) Preheat the air fryer at 200°C/390°F for 3 minutes. While waiting, brush a layer of oil all around the spring rolls. | 2) Put the rolls over the crisper tray of the air fryer in a single layer. Leave to cook for 8-10 minutes. Then flip over and cook for a further 5 minutes until they become golden. | [Serve and reheat] 1) Serve warm on their own or with the dipping sauce. | 2) To reheat leftover spring rolls , put them in a preheated oven at 200°C/390°F for about 10 minutes, or in an air-fryer at 200°C/390°F for 5 minutes or so. | [Make ahead] 1) You may store uncooked spring rolls, right after they’re assembled, in the freezer for up to three months (Keep them in an air-tight bag/container). | 2) Cook as usual without defrosting. If deep frying, raise the temperature to 190°C/375°F. If air-frying, prolong the cooking time by 3-5 minutes.",https://redhousespice.com/wp-content/uploads/2021/12/whole-spring-rolls-and-halved-ones-scaled.jpg,Appetizer,Chinese,"Air fry, Bao, Deep Fry, Dim Sum, New Year",153 kcal,5.0,81.0,123.0
Chinese Sticky Rice (Lo Mai Fan/糯米饭),"This stir-fried Chinese sticky rice produces the perfect texture and is bursting with aroma, making for a wonderful one-pan meal.",https://redhousespice.com/chinese-sticky-rice/,10m,18m,268m,4 servings,"[Dry ingredients] 2 cup glutinous rice aka sticky rice, sweet rice (see note 1) ,6 piece dried shiitake mushrooms ,2 tablespoon dried shrimp ,3 link Chinese sausages or Chinese cured pork belly (see note 2) | [For the sauce] 1 tablespoon light soy sauce ,1 tablespoon dark soy sauce ,1 tablespoon oyster sauce ,½ tablespoon Shaoxing rice wine ,1 teaspoon sesame oil ,1 teaspoon sugar ,¼ teaspoon ground white pepper ,⅛ teaspoon salt | [For stir-frying] 2 tablespoon neutral cooking oil ,3 clove garlic coarsely minced ,3 stalk scallions finely chopped ,⅓ cup roasted peanuts","[Prepare dry ingredients] 1) Glutinous rice : Soak it in cold water for 6 hours or overnight. Drain well. | 2) Shiitake mushrooms : Rehydrate them in cold water overnight, or in hot water for 30 minutes until they become soft. Squeeze out water then dice them. Keep the soaking water for later use. | 3) Dried shrimp : Soak it in hot water for 10 minutes. Coarsely chop them small. Keep the soaking water for later use. | 4) Chinese sausages : Soak them in hot water for 3 minutes to soften. Quarter each piece lengthways, then dice into small cubes. | [Mix the sauce] 1) In a small bowl, mix light soy sauce, dark soy sauce, oyster sauce, Shaoxing rice wine, sesame oil, sugar, white pepper, and salt. Set aside. | [Stir-fry the dish] 1) Heat oil in a wok, or a large skillet/casserole (preferably with a non-stick coating) over medium-high heat. Add garlic, the white and light green part of the scallions, and Chinese sausages. Sizzle until the aromatics become fragrant and the sausages turn a little translucent. | 2) Put in shiitake mushroom, dried shrimp. Stir-fry for a minute or so. Then add drained glutinous rice. Toss to coat all the grains with the oil. Pour in the sauce mixture, then stir to evenly distribute. | 3) Turn the heat to low. Combine the water in which the mushroom and dried shrimp are rehydrated, then pour about ½ cup of it into the rice. Mix well, then cover with a lid. Leave to steam for about 3 minutes, until the liquid has evaporated and the rice appears dry. | 4) Add another ½ cup of the soaking liquid (use water if not enough). Mix, cover, then let cook for another 3 minutes. Repeat the above procedure one more time. | 5) Taste the rice to determine if you need to repeat the process again. The grains should be cooked but not overly sticky, with a slight firmness in the middle (think of the al dente texture Italian pasta should have). | 6) Add roasted peanuts and the remaining scallions. Give everything a quick stir, then dish out.",https://redhousespice.com/wp-content/uploads/2024/03/Chinese-stick-rice-lo-mai-fan-4-scaled.jpg,Main Course,Chinese,"Lo Mai Fan, Stir-fried Stick Rice",638 kcal,5.0,8.0,16.0
Easy Chow Mei Fun,"A quick stir-fry featuring springy noodles, tender chicken, and crunchy vegetables, this chow mei fun recipe takes little effort to cook but is so satisfying to eat.",https://redhousespice.com/chow-mei-fun/,8m,6m,24m,2 servings,"[For the chicken] 1 piece chicken breast ,½ tablespoon cornstarch or tapioca, potato starch ,1 pinch salt ,1 tablespoon Shaoxing rice wine ,1 teaspoon neutral cooking oil | [For the noodles] 3½ oz dried mei fun aka rice vermicelli/thin rice noodles | [For the seasoning] 1 tablespoon light soy sauce ,½ tablespoon dark soy sauce ,½ tablespoon oyster sauce ,¼ teaspoon ground white pepper ,½ teaspoon sesame oil | [You also need] 2 tablespoon neutral cooking oil divided ,3 stalk scallions cut diagonally, white and green parts separated ,3 cloves garlic minced ,½ bell pepper julienned ,3½ oz fresh mushrooms shiitake, oyster, or button mushrooms, sliced ,3½ oz bean sprouts","[Marinate the chicken] 1) Cut chicken breast into bite-sized, thin slices. Put them into a bowl. Add cornstarch, salt, and Shaoxing rice wine. Mix and rub until there is no more liquid to be seen. Add 1 teaspoon of cooking oil and stir to coat the chicken pieces evenly. | [Prepare the noodles] 1) Put dried mei fun into a large bowl. Pour in just boiled water to fully submerge the noodles. Let sit for 2 minutes. Drain well then cut the noodles into shorter, more manageable sections. | [Mix the seasoning] 1) Add light soy sauce, dark soy sauce, oyster sauce, white pepper, and sesame oil to a small bowl. Mix well then set aside. | [Sear the chicken] 1) Heat a wok/deep skillet until very hot. Add 1 tablespoon of cooking oil (If using non-stick cookware, you need to add the oil first then start heating the wok/skillet). Swirl to coat a larger area of the wok. Put in the chicken slices and arrange them in a single layer. | 2) Once the bottom side browns slightly, flip and toss to sear further. As soon as the chicken no longer looks pink, transfer it out to a plate (do not overcook). | [Combine the dish] 1) Add the remaining 1 tablespoon of cooking oil to the vacant wok. Sizzle the white part of the scallions and minced garlic until fragrant (do not burn). | 2) Put in the noodles then use chopsticks to loosen them. Add bell pepper, mushrooms, and bean sprouts. Stir and toss constantly to evenly cook everything. | 3) Once the mushrooms begin to wilt, put the chicken back into the wok, along with the seasoning mixture and the green part of the scallions. Give everything a final stir to well distribute the sauce. Dish out and serve immediately.",https://redhousespice.com/wp-content/uploads/2023/11/mei-fun-0.jpg,Main Course,Chinese,"rice noodles, rice vermicelli, stir-fried noodles",531 kcal,5.0,16.0,30.0
Clay Pot Rice Two Ways (煲仔饭),Classic clay pot rice in less than 20 mins! It can be made with either Chinese sausage or marinated chicken. Alternative cookware methods included.,https://redhousespice.com/clay-pot-rice/,3m,16m,19m,2 servings,"[Topping option 1] 2 links Chinese sausages | [Topping option 2] 2 pieces skinless, boneless chicken thighs about 7oz/200g ,1 tablespoon julienned ginger ,1 teaspoon cornstarch ,1 teaspoon Shaoxing rice wine ,⅛ teaspoon salt ,1 pinch ground white pepper | [For the rice] 1 cup jasmine rice about 7.5oz/215g ,1 cup water or unsalted stock | [For the sauce] 1 tablespoon light soy sauce ,1 teaspoon dark soy sauce ,1 teaspoon oyster sauce ,1 teaspoon Shaoxing rice wine ,1 teaspoon sesame oil ,½ teaspoon sugar ,¼ teaspoon ground white pepper | [You also need] 2 stalks scallions finely chopped","[Prepare the meat] 1) Option 1: If using Chinese sausages, rinse them with hot water to remove any dust. | 2) Option 2: If using chicken, cut it into bite-sized pieces, then marinate with ginger, cornstarch, Shaoxing rice wine, salt, and white pepper for about 10 minutes. | [Cook the rice] 1) Rinse the rice under runny water then drain well. Put it into the pot along with 1 cup of water. | 2) Cook over medium-low heat uncovered until the water levels with the rice (watch attentively to avoid drying out the water). | [Add the topping] 1) Place the topping, either the whole links of sausages or the marinated chicken, over the rice (do not overlap the meat). Cover with a lid. | 2) Turn the heat to the lowest. Leave to cook for 10 minutes or so (see note 3). | [Scorch the rice] 1) Pour a little neutral-flavored cooking oil all along the lid of the clay pot (see note 4). Turn the heat up to medium and continue cooking to scorch the bottom of the rice. If you’re using a gas cooker, try tilting the pot at different angles to heat the side. | 2) Once you sense a little smoke or a subtle burnt smell, remove the pot from the heat immediately (The scorching process took me about 4 minutes). | 3) If you use sausages, take them out at this moment and cut into thin slices. Put them back in the pot. | [Season & mix] 1) While waiting for the rice to cook, mix all the ingredients for the sauce. Add it to the cooked rice and meat along with chopped scallions. | 2) Serve the dish in the pot. Toss and mix thoroughly and enjoy it immediately.",https://redhousespice.com/wp-content/uploads/2022/09/Mixed-clay-pot-rice.jpg,Main Course,Chinese,"bo zai fan, chinese rice casserole, claypot rice",,5.0,22.0,26.0
"Congee (Chinese Rice Porridge, 粥)","A recipe for basic congee which includes the ideal rice-to-water ratio, two cooking methods, topping ideas and make-ahead tips.",https://redhousespice.com/congee/,0m,40m,40m,6 servings,"[Ingredients] 1 cup short-grain or jasmine rice (uncooked) ,9 cups water (or chicken stock) can be adjusted to 8 or 10 cups | [Optional toppings (mix and match as you wish)] Flavouring Light soy sauce (or tamari), sesame oil, chilli oil , scallion oil , chilli garlic sauce , black bean sauce , fermented bean curd, etc. ,Aromatics Finely chopped scallions, ginger, coriander, etc. ,Preserved food Preserved mustard stem, Chinese olive vegetables, pickled long beans, etc. ,Eggs Boiled eggs, fried eggs, marbled tea eggs , salted duck eggs, century eggs , etc. ,Others You Tiao , pork floss, dried laver seaweed, toasted peanuts, sesame seeds, etc.","[The regular method] 1) Briefly rinse the rice under running water. Bring water to a full boil in a pot/large saucepan, then add the rice. | 2) When the water comes back to a boil, turn the heat to the lowest and stir the rice. | 3) Cover with a lid once the water calms down to a very gentle simmer. Leave to cook for 35 to 40 minutes until it thickens to your desired consistency. Remember to stir a couple of times during the process. | 4) Serve it as it is, or add any flavourings and/or toppings of your choice. | [The shortcut method] 1) Rinse the rice then store it in the freezer overnight until fully frozen. | 2) Add the frozen block of rice directly into the boiling water (reduce the water volume to 6 cups) and follow the same method above to cook for 10 to 15 minutes. | [Make in advance] 1) If you plan to eat the congee the next day, slightly increase the water volume since it thickens as it cools. | 2) Store leftover congee in the fridge for up to 3 days. Reheat over low heat until piping hot (stir from time to time). Add a little water if it looks too dense.",https://redhousespice.com/wp-content/uploads/2022/04/congee-with-youtiao-preserved-vegetables-scaled.jpg,Breakfast,Chinese,"Gluten-free, Rice, Vegan, Vegetarian",125 kcal,5.0,51.0,74.0
"Fried Wonton, Two Ways (炸云吞)","Juicy filling wrapped with crispy pastry, fried wontons make a crowd-pleasing appetizer. They can be either deep-fried or air-fried.",https://redhousespice.com/fried-wontons/,25m,8m,33m,40 wontons,"[Ingredients] 40 pieces wonton wrappers homemade or shop-bought | [For the filling] 8 oz ground pork or beef/chicken ,7 oz shrimp raw and peeled, cut into cubes ,1 stalk scallions finely chopped ,1 teaspoon ginger minced ,3 tablespoon water ,1 tablespoon Shaoxing rice wine ,1 teaspoon light soy sauce ,1 tablespoon cornstarch ,½ teaspoon sesame oil ,½ teaspoon salt ,¼ teaspoon ground white pepper ,1 pinch sugar | [For frying] Neutral cooking oil see note 1 | [Optional sauce (choose one of the following)] Chili oil ,Chili garlic sauce ,Sweet chili sauce","[Prepare the wrappers] 1) If your wonton wrappers are frozen, thaw them in the fridge the night before. Do not remove the packaging until you’re ready to assemble to prevent them from drying out. | [Mix the filling] 1) Put ground pork and shrimp into a mixing bowl. Add scallions, ginger, water, and all the seasonings. Constantly stir in one direction until everything is well mixed and the liquid is fully absorbed. | [Fold the wontons] 1) Wet two neighboring sides of a wonton wrapper. Place a portion of the filling in the middle. Fold the wrapper into a triangle and pinch the edge to seal, making sure there is little air trapped inside. | 2) Dab a little water over one of the triangle’s sharp corners. Bring the other sharp corner over and lay it on top of the wet corner. Pinch them together to stick (see note 2). | [Option 1: Deep-fry] 1) Heat cooking oil in a wok or a pot, about 2 inches (5 cm) deep. When it reaches about 350°F (180°C), turn the heat down to low, then gently slide in wontons one by one (see note 3). | 2) Leave to fry until they become golden (flip them once or twice during the process for even browning). Fry in batches and do not overcrowd. | [Option 2: Air-fry] 1) Preheat the air fryer to 375°F (190°C). Brush a thin layer of oil over the wontons. Lay them over the crisper tray of the air fryer in a single layer without overlapping. | 2) Leave to cook for about 5 minutes. Flip them and cook for a further 2 minutes or so (see note 4). | [Store] 1) Only fry what you intend to serve on the day. Store uncooked wontons in the freeze for up to 2 months. Defrost them in the fridge before frying.",https://redhousespice.com/wp-content/uploads/2024/01/deep-fried-wontons-0.jpg,Appetizer,Chinese,wontons,39 kcal,5.0,4.0,4.0
Homemade Wonton Wrappers,Making wonton wrappers is easier than you might think! Follow this foolproof recipe to achieve the perfect look and texture.,https://redhousespice.com/homemade-wonton-wrappers/,20m,30m,50m,40 wrappers,"[Ingredients] All-purpose flour double weight of the egg whites (see note 1) ,¼ teaspoon salt ,2 large egg whites ,½ teaspoon lye water (see note 2) ,Cornstarch for dusting (see note 3)","[Make the dough] 1) Mix all-purpose flour and salt in a mixing bowl. Pour egg whites and lye water over. Use chopsticks, or a fork, to stir and mix until no more liquid or loose flour can be seen. | 2) Combine with your hand to form a cohesive dough. Cover tightly with plastic wrap and allow it to rest for 30 minutes or so. | [Roll the sheets] 1) Knead the dough again to make it smoother, then divide it into two equal portions. Work with one piece first and keep the other well-wrapped. | 2) NOTE: In the following steps, remember to lightly dust the dough with cornstarch from time to time to prevent sticking. | 3) Flatten the dough into a squarish shape that is thin enough to go through the pasta maker on its widest setting, which is usually the lowest number. | 4) Feed the dough through the machine, then fold it from both ends and pass it through another two to three times, making sure that the dough sheet eventually reaches the full width of the roller. | 5) Gradually reduce the thickness by turning the setting one number higher at a time, and pass the dough sheet through the roller twice at each setting. Handle the dough gently and dust it with cornstarch regularly. | 6) My pasta machine has settings from 0 to 9, I stop at No. 7 which results in a thickness of 0.8mm. Please feel free to adjust this to your preference (see note 4). | [Cut the wrappers] 1) Dust the finished dough sheet lightly and evenly with cornstarch. Carefully fold the long sheet accordion-style into a stack, then cut it along the middle line to create two narrow, long sheets. | 2) From these, cut out square wrappers, aiming for approximately 40 pieces in total. | [Store the wrappers] 1) Use the wrappers immediately, or stack them up and store them for later use. | 2) Keep them in airtight bags or containers to prevent drying out. Store in the fridge for up to 2 days and 2 months in the freezer (defrost in the fridge before using).",https://redhousespice.com/wp-content/uploads/2023/12/homemade-wonton-wrappers-3-scaled.jpg,Main Course,Chinese,"wonton, wrappers",16 kcal,5.0,11.0,17.0
Lettuce with Oyster Sauce (蚝油生菜),"Briefly blanched lettuce topped with a sticky, garlicky, umami-rich sauce, Chinese lettuce with oyster sauce turns everyday greens into something truly flavorful.",https://redhousespice.com/lettuce-oyster-sauce/,3m,3m,6m,4 servings,"[Ingredients] 1 lb little gem lettuce or romaine lettuce, iceberg lettuce (see note 1) ,1½ tablespoon oyster sauce (see note 2) ,½ teaspoon dark soy sauce ,½ teaspoon cornstarch ,½ teaspoon sugar ,3 tablespoon water ,½ tablespoon cooking oil ,4 cloves garlic sliced","[Instructions] 1) Wash the lettuce and separate the leaves. If they’re large, tear them into big pieces by hand. | 2) Bring a pot of water to a boil, then turn off the heat. Add the lettuce and gently press the leaves down with a spatula to keep them submerged. After 10 to 20 seconds, drain well and transfer to a serving plate. | 3) In a small bowl, mix oyster sauce, dark soy sauce, sugar, cornstarch and water. | 4) In a skillet/wok, fry garlic in oil over medium heat. Once the garlic slightly browns, turn off the heat and pour in the sauce. Stir until thickened. | 5) Pour the sauce onto the lettuce. Serve immediately.",https://redhousespice.com/wp-content/uploads/2025/07/Oyster-Sauce-Lettuce-7.jpg,Side Dish,Chinese,Vegetables,46 kcal,4.96,22.0,43.0
